Date,City,Temp_Mean_C,Precipitation_mm
2017-06-16,Delhi,31.1,0.4
2017-06-17,Delhi,30.6,7.0
2017-06-18,Delhi,30.9,3.1
2017-06-19,Delhi,31.5,5.5
2017-06-20,Delhi,29.8,10.2
2017-06-21,Delhi,28.8,2.4
2017-06-22,Delhi,29.2,0.0
2017-06-23,Delhi,29.5,5.5
2017-06-24,Delhi,31.7,0.0
2017-06-25,Delhi,33.2,0.2
2017-06-26,Delhi,33.6,2.3
2017-06-27,Delhi,33.0,1.1
2017-06-28,Delhi,29.6,24.1
2017-06-29,Delhi,27.9,3.6
2017-06-30,Delhi,27.9,15.1
2017-07-01,Delhi,28.7,10.5
2017-07-02,Delhi,28.0,12.4
2017-07-03,Delhi,29.3,3.5
2017-07-04,Delhi,30.9,3.8
2017-07-05,Delhi,30.9,0.4
2017-07-06,Delhi,30.2,1.0
2017-07-07,Delhi,30.0,1.7
2017-07-08,Delhi,31.2,0.1
2017-07-09,Delhi,32.3,0.0
2017-07-10,Delhi,32.2,0.4
2017-07-11,Delhi,30.5,1.4
2017-07-12,Delhi,28.3,1.1
2017-07-13,Delhi,29.4,0.6
2017-07-14,Delhi,29.9,0.6
2017-07-15,Delhi,29.6,9.6
2017-07-16,Delhi,29.9,5.1
2017-07-17,Delhi,29.9,5.8
2017-07-18,Delhi,30.4,4.3
2017-07-19,Delhi,31.6,2.0
2017-07-20,Delhi,29.6,14.0
2017-07-21,Delhi,29.8,5.7
2017-07-22,Delhi,28.5,1.8
2017-07-23,Delhi,28.1,5.3
2017-07-24,Delhi,27.7,6.3
2017-07-25,Delhi,27.8,5.6
2017-07-26,Delhi,28.8,0.7
2017-07-27,Delhi,29.6,1.9
2017-07-28,Delhi,29.3,0.9
2017-07-29,Delhi,29.0,1.8
2017-07-30,Delhi,28.7,2.3
2017-07-31,Delhi,27.5,17.6
2017-08-01,Delhi,27.0,4.8
2017-08-02,Delhi,28.3,2.6
2017-08-03,Delhi,29.0,1.0
2017-08-04,Delhi,29.3,0.7
2017-08-05,Delhi,29.9,3.8
2017-08-06,Delhi,29.6,1.3
2017-08-07,Delhi,28.5,17.7
